"long","lat","study.id","variable","year","jan","feb","mar","apr","may","june","july","aug","sep","oct","nov","dec"
-106.08,26.4,"MEXI022","ppt",1901,13,36,6,6,14,47,203,133,113,77,6,10
-106.08,26.4,"MEXI023","ppt",1901,13,36,6,6,14,47,203,133,113,77,6,10
-111.33,45.3,"MT110","ppt",1901,72,61,79,77,157,53,13,29,91,20,39,159
-111.32,45.3,"MT114","ppt",1901,71,58,78,75,156,53,13,29,90,19,39,155
-108.1,34.97,"NM572","ppt",1901,17,24,9,10,30,4,55,53,26,30,24,7
-121.4,48.05,"WA047","ppt",1901,484,375,285,265,172,118,28,5,166,153,707,308
-123.03,47.83,"WA086","ppt",1901,249,236,139,199,90,72,20,3,63,103,400,242
-124,48,"WA088","ppt",1901,412,248,178,238,97,64,21,3,81,220,561,364
-121.33,47.88,"WA090","ppt",1901,441,334,219,210,135,108,24,4,153,137,551,276
-110.67,44.98,"WY027","ppt",1901,30,17,34,31,97,35,10,28,57,12,20,51
-105.55,40.32,"CO572","ppt",1901,26,56,81,144,99,49,25,55,19,17,7,89
-108.15,39,"CO580","ppt",1901,59,63,92,82,74,31,16,98,3,41,19,45
-106.23,38.8,"CO617","ppt",1901,20,21,36,47,56,24,25,53,11,18,7,22
-105.52,40.02,"CO619","ppt",1901,21,34,66,118,109,58,31,58,17,14,6,61
-106.8667,39.65,"CO644","ppt",1901,16,11,21,30,30,21,16,39,3,15,5,20
-106.23,39.85,"CO646","ppt",1901,24,26,47,64,63,33,18,53,11,16,8,41
-108.5,37.2,"CO647","ppt",1901,31,35,25,20,40,7,14,47,7,26,10,17
-113.75,48.9167,"MT118","ppt",1901,128,123,95,68,141,131,44,12,115,24,107,122
-113.3667,48.5167,"MT122","ppt",1901,149,119,91,79,142,139,38,11,161,31,96,143
-113.3667,48.4833,"MT123","ppt",1901,106,79,61,56,110,116,28,10,133,22,69,100
-112.7333,47.9167,"MT124","ppt",1901,64,50,38,47,123,106,24,9,102,12,39,82
-110.5333,46.2667,"MT125","ppt",1901,18,19,32,45,148,55,17,15,69,6,16,64
-109.8,37.9333,"UT529","ppt",1901,15,35,16,19,24,5,16,76,1,25,5,15
-110.333,39.6,"UT530","ppt",1901,16,60,21,16,39,5,12,67,4,26,10,18
-109.65,44.9333,"WY039","ppt",1901,60,43,58,43,112,46,13,34,55,16,39,130
-108.7167,44.1833,"WY040","ppt",1901,3,9,9,20,52,36,9,18,12,10,5,17
-109.6333,42.85,"WY043","ppt",1901,17,42,33,46,65,38,13,35,18,26,17,66
-109.7667,42.9667,"WY045","ppt",1901,24,52,40,52,68,42,12,37,22,29,20,88
-116.44,52.19,"CANA327","ppt",1901,28,38,31,27,49,110,80,20,75,13,30,36
-116.388,52.072,"CANA331","ppt",1901,41,56,41,31,50,107,84,18,80,13,51,61
-114.2,49.9,"CANA332","ppt",1901,43,66,54,60,81,116,64,22,65,12,26,50
-114,49.7,"CANA333","ppt",1901,36,45,39,37,68,113,53,14,68,9,29,41
-114.2,50,"CANA334","ppt",1901,48,56,57,62,82,126,58,17,67,13,32,57
-114.2,49.9,"CANA336","ppt",1901,34,59,44,46,68,102,59,19,57,8,26,37
-114.98,51.13,"CANA337","ppt",1901,23,44,40,51,75,127,67,20,74,10,23,33
-114.7,51.3,"CANA338","ppt",1901,17,29,33,40,72,143,90,20,79,9,21,28
-114.1,49.9,"CANA339","ppt",1901,41,63,51,55,78,110,64,18,65,11,28,49
-114.4,49.9,"CANA343","ppt",1901,56,52,54,60,79,137,47,13,67,13,31,59
-114.0833,49.9667,"CANA346","ppt",1901,47,68,57,62,85,122,64,20,70,13,31,57
-114.2,49.9,"CANA347","ppt",1901,41,65,52,58,79,114,63,21,63,11,26,48
-116.43,52.06,"CANA350","ppt",1901,55,75,53,37,52,110,86,18,86,18,66,78
-110.78,32.45,"AZ557","ppt",1901,117,152,56,11,17,0,151,140,25,60,28,8
-121,40,"CA682","ppt",1901,270,259,62,121,33,2,0,3,56,105,135,106
-118.05,52.9167,"CANA426","ppt",1901,32,24,21,22,30,71,60,26,54,22,37,34
-118.0667,52.9333,"CANA427","ppt",1901,32,25,21,22,30,71,60,26,54,22,39,35
-118.0667,52.9167,"CANA428","ppt",1901,31,23,20,22,28,67,57,25,51,21,37,33
-118.1167,52.8833,"CANA429","ppt",1901,31,22,20,21,28,68,58,25,50,21,38,31
-111.9667,41.35,"UT536","ppt",1901,110,232,85,68,129,16,16,85,27,93,52,178
-111.95,41.3667,"UT537","ppt",1901,168,357,123,94,163,20,22,110,36,120,78,272
-111.65,41.91,"UT538","ppt",1901,121,224,82,82,91,10,21,62,22,85,49,203
-116.79,48.37,"ID017","ppt",1901,106,116,60,53,76,69,34,7,83,25,126,72
-114.8667,47.3333,"MT129","ppt",1901,67,73,55,41,80,87,18,7,74,34,58,70
-114.25,46.8167,"MT130","ppt",1901,114,92,80,85,135,84,15,6,89,42,65,164
-113.6333,46.65,"MT131","ppt",1901,51,37,36,52,113,68,8,5,64,18,18,100
-114.6855,46.8557,"MT132","ppt",1901,52,45,33,38,85,65,12,6,61,22,37,72
-111.7667,46.7667,"MT133","ppt",1901,21,18,30,43,117,78,16,7,92,4,7,45
-110.8167,46.0833,"MT134","ppt",1901,15,12,19,38,109,39,11,22,85,5,16,42
-121.95,44.4333,"OR096","ppt",1901,356,318,208,114,85,38,2,6,149,63,205,229
-108.3478,37.2739,"CO651","ppt",1901,29,31,26,20,48,8,15,44,8,25,10,17
-108.3478,37.2739,"CO652","ppt",1901,29,31,26,20,48,8,15,44,8,25,10,17
-110.2094,43.5727,"WY052","ppt",1901,57,76,61,61,65,48,11,37,31,29,27,113
-110.6711,43.3042,"WY055","ppt",1901,37,51,34,42,55,37,13,42,25,26,17,68
-107.817,28.018,"MEXI050","ppt",1901,11,41,7,4,8,26,251,111,90,106,7,6
-107.95,28.122,"MEXI051","ppt",1901,15,46,8,6,12,28,285,130,95,132,9,9
-108.211,29.322,"MEXI052","ppt",1901,44,51,26,12,11,27,220,128,81,104,43,16
-107.86,28.085,"MEXI053","ppt",1901,12,43,7,5,10,26,267,118,90,114,7,7
-108.192,29.308,"MEXI054","ppt",1901,41,49,24,11,11,27,219,125,80,103,40,15
-108.619,30.543,"MEXI055","ppt",1901,32,29,14,7,7,13,145,94,36,53,32,5
-107.013,25.934,"MEXI056","ppt",1901,39,91,14,12,17,75,329,249,187,96,21,43
-108.264,28.622,"MEXI057","ppt",1901,15,28,8,4,8,26,177,102,70,77,11,9
-103.919,25.234,"MEXI058","ppt",1901,14,10,3,3,15,41,85,103,51,21,4,9
-100.492,25.275,"MEXI063","ppt",1901,9,12,5,18,27,47,83,34,86,15,18,7
-102.358,27.038,"MEXI064","ppt",1901,8,8,4,22,27,28,52,37,63,18,10,6
-100.372,25.238,"MEXI065","ppt",1901,8,11,4,19,26,51,73,35,98,15,14,5
-105.538,25.418,"MEXI068","ppt",1901,12,60,6,4,12,69,261,177,131,54,7,26
-106.074,25.053,"MEXI069","ppt",1901,15,178,5,3,10,92,360,261,175,70,8,70
-105.108,24.609,"MEXI070","ppt",1901,6,122,2,2,6,87,339,221,161,44,4,43
-104.841,23.453,"MEXI071","ppt",1901,4,168,1,1,3,106,387,303,232,44,2,70
-105.437,23.661,"MEXI073","ppt",1901,3,258,1,0,1,147,464,325,267,63,1,104
-106.082,26.394,"MEXI074","ppt",1901,13,36,6,6,15,47,204,134,113,77,6,10
-106.343,26.183,"MEXI075","ppt",1901,20,45,8,8,12,52,206,156,128,79,10,16
-105.738,25.076,"MEXI076","ppt",1901,8,51,3,1,2,73,310,209,137,42,3,39
-105.588,23.756,"MEXI077","ppt",1901,2,137,0,0,0,116,414,257,200,54,1,73
-106.356,25.951,"MEXI078","ppt",1901,23,35,6,6,6,48,174,162,135,78,14,22
-104.536,23.495,"MEXI079","ppt",1901,4,64,1,1,3,82,225,192,137,27,3,29
-106.383,25.15,"MEXI080","ppt",1901,20,246,6,3,8,102,398,281,184,76,12,93
-105.954,25.559,"MEXI082","ppt",1901,17,74,7,5,13,68,237,177,133,59,11,31
